record	type	file_offset	destination_word	length_words	payload_file
0	PLOAD	0xD07080	0x0000	256	records/000-pload-0000-0100.bin
1	PLOAD	0xD07286	0x0100	256	records/001-pload-0100-0100.bin
2	PLOAD	0xD0748C	0x0200	256	records/002-pload-0200-0100.bin
3	PLOAD	0xD07692	0x0300	256	records/003-pload-0300-0100.bin
4	PLOAD	0xD07898	0x0400	256	records/004-pload-0400-0100.bin
5	PLOAD	0xD07A9E	0x0500	256	records/005-pload-0500-0100.bin
6	PLOAD	0xD07CA4	0x0600	256	records/006-pload-0600-0100.bin
7	PLOAD	0xD07EAA	0x0700	256	records/007-pload-0700-0100.bin
8	PLOAD	0xD080B0	0x0800	256	records/008-pload-0800-0100.bin
9	PLOAD	0xD082B6	0x0900	256	records/009-pload-0900-0100.bin
10	PLOAD	0xD084BC	0x0A00	256	records/010-pload-0A00-0100.bin
11	PLOAD	0xD086C2	0x0B00	256	records/011-pload-0B00-0100.bin
12	PLOAD	0xD088C8	0x0C00	256	records/012-pload-0C00-0100.bin
13	PLOAD	0xD08ACE	0x0D00	238	records/013-pload-0D00-00EE.bin
14	PLOAD	0xD08CB0	0x0FE0	32	records/014-pload-0FE0-0020.bin
15	DLOAD	0xD08CF6	0x3A1D	3	records/015-dload-3A1D-0003.bin
16	DLOAD	0xD08D02	0x51DB	152	records/016-dload-51DB-0098.bin
17	DLOAD	0xD08E38	0x527C	60	records/017-dload-527C-003C.bin
18	DLOAD	0xD08EB6	0x5F3B	168	records/018-dload-5F3B-00A8.bin
19	DLOAD	0xD0900C	0xFEC2	58	records/019-dload-FEC2-003A.bin
20	BRANCH	0xD09086	0x0020	0	-
