record	type	file_offset	destination_word	length_words	payload_file
0	PLOAD	0x1827E2	0x0006	2	records/000-pload-0006-0002.bin
1	PLOAD	0x1827EC	0x000E	2	records/001-pload-000E-0002.bin
2	PLOAD	0x1827F6	0x0016	2	records/002-pload-0016-0002.bin
3	PLOAD	0x182800	0x0020	509	records/003-pload-0020-01FD.bin
4	PLOAD	0x182C00	0x021D	509	records/004-pload-021D-01FD.bin
5	PLOAD	0x183000	0x041A	509	records/005-pload-041A-01FD.bin
6	PLOAD	0x183400	0x0617	509	records/006-pload-0617-01FD.bin
7	PLOAD	0x183800	0x0814	509	records/007-pload-0814-01FD.bin
8	PLOAD	0x183C00	0x0A11	509	records/008-pload-0A11-01FD.bin
9	PLOAD	0x184000	0x0C0E	509	records/009-pload-0C0E-01FD.bin
10	PLOAD	0x184400	0x0E0B	509	records/010-pload-0E0B-01FD.bin
11	PLOAD	0x184800	0x1008	509	records/011-pload-1008-01FD.bin
12	PLOAD	0x184C00	0x1205	509	records/012-pload-1205-01FD.bin
13	PLOAD	0x185000	0x1402	509	records/013-pload-1402-01FD.bin
14	PLOAD	0x185400	0x15FF	509	records/014-pload-15FF-01FD.bin
15	PLOAD	0x185800	0x17FC	509	records/015-pload-17FC-01FD.bin
16	PLOAD	0x185C00	0x19F9	509	records/016-pload-19F9-01FD.bin
17	PLOAD	0x186000	0x1BF6	364	records/017-pload-1BF6-016C.bin
18	PLOAD	0x1862DE	0x1FC0	64	records/018-pload-1FC0-0040.bin
19	DLOAD	0x186364	0x61AE	25	records/019-dload-61AE-0019.bin
20	DLOAD	0x18639C	0x6785	279	records/020-dload-6785-0117.bin
21	DLOAD	0x1865D0	0x6A00	442	records/021-dload-6A00-01BA.bin
22	DLOAD	0x18694A	0x7AA5	8	records/022-dload-7AA5-0008.bin
23	DLOAD	0x186960	0x7CA6	15	records/023-dload-7CA6-000F.bin
24	BRANCH	0x186984	0x0020	0	-
