record	type	file_offset	destination_word	length_words	payload_file
0	PLOAD	0x6F450C	0x0006	2	records/000-pload-0006-0002.bin
1	PLOAD	0x6F4516	0x000E	2	records/001-pload-000E-0002.bin
2	PLOAD	0x6F4520	0x0016	2	records/002-pload-0016-0002.bin
3	PLOAD	0x6F452A	0x0020	509	records/003-pload-0020-01FD.bin
4	PLOAD	0x6F492A	0x021D	509	records/004-pload-021D-01FD.bin
5	PLOAD	0x6F4D2A	0x041A	509	records/005-pload-041A-01FD.bin
6	PLOAD	0x6F512A	0x0617	509	records/006-pload-0617-01FD.bin
7	PLOAD	0x6F552A	0x0814	509	records/007-pload-0814-01FD.bin
8	PLOAD	0x6F592A	0x0A11	509	records/008-pload-0A11-01FD.bin
9	PLOAD	0x6F5D2A	0x0C0E	509	records/009-pload-0C0E-01FD.bin
10	PLOAD	0x6F612A	0x0E0B	122	records/010-pload-0E0B-007A.bin
11	PLOAD	0x6F6224	0x0FE0	32	records/011-pload-0FE0-0020.bin
12	DLOAD	0x6F626A	0x4F22	160	records/012-dload-4F22-00A0.bin
13	DLOAD	0x6F63B0	0x5006	378	records/013-dload-5006-017A.bin
14	DLOAD	0x6F66AA	0x5CA6	15	records/014-dload-5CA6-000F.bin
15	DLOAD	0x6F66CE	0xFF68	40	records/015-dload-FF68-0028.bin
16	BRANCH	0x6F6724	0x0020	0	-
